ROAE / ROAA,(Total Patrimonio + Interés Minoritario + Provisiones) / Cartera Bruta,(Cartera Bruta + Caja & Eq. + Inversiones) / Pasivos con Costo,Provisiones / Cartera Bruta,Gasto en Provisiones / Cartera Bruta,Ingreso Neto por Intereses / (Cartera Bruta + Caja & Eq. + Inversiones) ,Gasto no financiero / Ingreso Total,Ingreso No Financiero / Ingreso Total,ROAA,Utilidad Neta / Ingreso Total,Ingreso Total / Total Activo x 4,ROAE,(Caja & Eq. + Inversiones) / Total Activo,Caretera Bruta / Depósitos Totales,Depósitos Totales / Total Pasivo,ROAE / ROAA PROM. LTM,(Total Patrimonio + Interés Minoritario + Provisiones) / Cartera Bruta PROM. LTM,(Cartera Bruta + Caja & Eq. + Inversiones) / Pasivos con Costo PROM. LTM,Provisiones / Cartera Bruta PROM. LTM,Gasto en Provisiones / Cartera Bruta PROM. LTM,Ingreso Neto por Intereses / (Cartera Bruta + Caja & Eq. + Inversiones)  PROM. LTM,Gasto no financiero / Ingreso Total PROM. LTM,Ingreso No Financiero / Ingreso Total PROM. LTM,ROAA PROM. LTM,Utilidad Neta / Ingreso Total PROM. LTM,Ingreso Total / Total Activo x 4 PROM. LTM,ROAE PROM. LTM,(Caja & Eq. + Inversiones) / Total Activo PROM. LTM,Caretera Bruta / Depósitos Totales PROM. LTM,Depósitos Totales / Total Pasivo PROM. LTM,Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Local Trad
14.9423276133797,0.185570816605008,1.07186005286741,2.65129275559927E-02,1.85952913353679E-02,4.77304472806574E-02,0.518100212071667,0.43230189838861,8.64691165156368E-03,0.114275305269485,7.59855427326261E-02,0.128907804022542,0.234155848472889,1.0511132014512,0.712978782593551,14.697398846173,0.186986085819147,1.07265121723812,0.02587474628057,1.55020561197142E-02,4.61581725075764E-02,0.496135291972458,0.407064013863734,0.010577799746185,0.147921028688289,7.05836030938917E-02,0.154586516334063,0.234328357320026,1.06643792964255,0.704196366651194,BBB,1T16,BBB-,AA+
14.2992759327951,0.18902822573254,1.06923003402506,2.62840237088174E-02,2.01861499807371E-02,4.51261584413161E-02,0.479480107153041,0.446707637362575,1.11682945557482E-02,0.151287889166282,7.36821759186878E-02,0.163203668535747,0.225917556444869,1.06649801104539,0.713980061497287,14.8385123878511,0.184596200065633,1.06952365548,2.58326525568003E-02,1.67550156173543E-02,4.61151938090894E-02,0.499457155809301,0.415651006022301,1.04145562451116E-02,0.14379130892799,7.15193600251694E-02,0.153949900954648,0.230349078971835,1.06979488870894,0.704270311313945,BBB,2T16,BBB-,AA+
14.2814975052812,0.18873941562832,1.07230248328929,2.73191871621037E-02,1.69614719252575E-02,4.77671097906431E-02,0.47030513860337,0.408025026125806,1.13675237269805E-02,0.156351399504765,7.25898444777926E-02,0.162446086981152,0.218752365587113,1.08195655812709,0.706974512864388,14.5992834383581,0.186566898180016,1.07012698761543,0.026415887959555,1.78188523031009E-02,0.046668033928026,0.486885039148762,0.428009796326278,1.10505331092661E-02,0.149754157672974,7.36335363328438E-02,0.162627825613508,0.227403523738424,1.06752902042526,0.708887858328576,BBB,3T16,BBB-,AA+
14.3622708679424,0.186392323568424,1.07198946955615,2.74648061646791E-02,1.94165455352723E-02,4.55998763467663E-02,0.516571323085274,0.423441557437144,8.32638334484083E-03,0.114187814103793,7.16650727232133E-02,0.119254430550099,0.213671665254615,1.0783470143648,0.721547609393001,14.4713429798496,0.187432695383573,1.07134550993448,2.68952361478982E-02,1.87898646941587E-02,4.65558979648457E-02,0.496114195228338,0.427619029828534,9.87727831978329E-03,0.134025602011081,0.07348065896308,0.143452997522385,0.223124358939872,1.06947869624712,0.713870241587057,BBB,4T16,BBB-,AA+
15.2610831855644,0.18045108193808,1.07315085822019,2.81944579242947E-02,0.018918577770853,4.92664274320445E-02,0.494577214787706,0.383693339865947,1.04077703677078E-02,0.142434954794445,7.25814809336753E-02,0.154046097738127,0.222434813299864,1.0610443021712,0.721392092556636,14.5510318728958,0.186152761716841,1.07166821127267,2.73156187399737E-02,0.01887068630303,4.69398930026925E-02,0.490233445907348,0.415466890197868,1.03174929988193E-02,0.141065514392321,7.26296435133422E-02,0.149737570951281,0.220194100146615,1.07196147142712,0.715973569077828,BBB,1T17,BBB-,AA+
14.8671617823294,0.182728781323792,1.07145707330368,3.01037570938939E-02,2.57983650738938E-02,5.02517081161644E-02,0.47349319141155,0.383057369747248,8.22523598018161E-03,0.110169410603143,7.40653192358389E-02,0.123871778844439,0.207464153406354,1.07899530792043,0.728491001395656,14.6930033352793,0.184577900614654,1.07222497109233,2.82705520862429E-02,2.02737400763192E-02,4.82212804214046E-02,0.488736716971975,0.399554323294036,9.58172835492767E-03,0.130785894751537,0.07272542934263,0.139904598528454,0.215580749386987,1.07508579564588,0.71960130405242,BBB,2T17,BBB-,AA+
14.3453662786659,0.189846578471065,1.07500278392223,3.27203383384254E-02,2.56123989360067E-02,5.16305238831258E-02,0.475454761010659,0.371006014380378,7.63543087560456E-03,0.102933090852985,7.46217984137841E-02,0.111501366295555,0.206370756270125,1.09107244114038,0.72400132535105,14.7089705286255,0.184854691325341,1.07290004625056,2.96208398803233E-02,2.24364718290064E-02,4.91871339445252E-02,0.490024122573797,0.390299570357679,8.6487051420837E-03,0.117431317588591,7.32334178266279E-02,0.127168418357055,0.212485347057739,1.0773647663992,0.723858007174086,BBB,3T17,BBB-,AA+
14.5231540466377,0.18927199048686,1.07616309434438,0.033770434321894,2.51880303945895E-02,0.049427772028756,0.479626101478261,0.390506690573953,0.008036115388941,0.106865300326754,7.38513269022307E-02,0.116004013395097,0.207295540753667,1.0741681625954,0.73521241417566,14.7491913232994,0.18557460805495,1.07394345244762,0.031197246919627,2.38793430438357E-02,5.01441078650227E-02,0.480787817172044,0.382065853641881,8.57613815310874E-03,0.115600689144332,7.37799813713823E-02,0.126355814068304,0.210891315932502,1.07632005345685,0.72727420836975,BBB-,4T17,BBB-,AAA
15.542399351915,0.190423817998701,1.08366561582324,4.25582112633454E-02,1.96914093378931E-02,5.00146380365008E-02,0.480557919869265,0.366032552909421,1.02000480983208E-02,0.142280182474629,7.23471942919817E-02,0.153111663190205,0.215140259330498,1.0742334401298,0.72907099321865,14.819520364887,0.188067792070105,1.07657214184838,3.47881852543897E-02,2.40725509355958E-02,5.03311605161368E-02,0.477282993442434,0.37765065690275,0.008524207585762,0.115561996064378,7.37214097109589E-02,0.126122205431324,0.209067677440161,1.0796173379465,0.729193933535254,BBB-,1T18,BBB-,AAA
14.8161367044316,0.196092573293519,1.08297262108831,4.33917912021344E-02,1.83682547843576E-02,5.02663081568555E-02,0.480113122969204,0.379813848410655,1.16791320726885E-02,0.156577766444432,7.42292940911749E-02,0.177158624562671,0.210284967917134,1.08902697151865,0.726108319783611,14.8067640954126,0.191408740062536,1.07945102879454,3.81101937814498E-02,2.22150233632117E-02,5.03348105263095E-02,0.478937976331848,0.376839776568602,9.38768160888872E-03,0.1271640850247,7.37624034247929E-02,0.139443916860882,0.209772881067856,1.08212525384606,0.728598263132243,BBB-,2T18,BBB-,AAA
