IQT275769401,"SK E&S Co., Ltd."
IQT224009560,Southern Copper Corporation
IQT321373518,State Oil Company of the Azerbaijan Republic
IQT317199764,STATS ChipPAC Pte. Ltd.
IQT533693613,Steel Funding D.A.C.
IQT434155423,Stillwater Mining Company
IQT427143254,Sunac China Holdings Limited
IQT274626235,Tata Motors Limited
IQT347961345,Telecom Argentina S.A.
IQT261403312,Tencent Holdings Limited
IQT226478388,Thai Oil Public Company Limited
IQT418095690,The Central America Bottling Corporation
IQT241941879,The Israel Electric Corporation Limited
IQT170574206,Transnet SOC Ltd
IQT237463411,Transportadora de Gas del Perú S.A.
IQT253991895,Transportadora de Gas del Sur S.A.
IQT261467413,Tullow Oil plc
IQT292985903,Türk Telekomünikasyon Anonim Sirketi
IQT331800897,Turkcell Iletisim Hizmetleri A.S.
IQT199542370,Turkiye Ihracat Kredi Bankasi A.S.
IQT533426720,"TV Azteca, S.A.B. de C.V."
IQT402354700,"Unifin Financiera, S. A. B. de C. V., Sociedad Financiera de Objeto Múltiple, Entidad No Regulada"
IQT275436237,Unión Andina de Cementos S.A.A.
IQT133591535,Vedanta Resources Limited
IQT228355355,VEON Holdings B.V.
IQ379316,VEON Ltd.
IQT154208775,Volcan Compañía Minera S.A.A.
IQT129308104,Votorantim Cimentos S.A.
IQT254320910,VTR Finance B.V.
IQT271740570,West China Cement Limited
IQT537599570,"Wynn Macau, Limited"
IQT261467408,YPF Sociedad Anónima
IQT417186669,Yuzhou Properties Company Limited
